Scheme Name;Net Asset Value
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan;96.1002
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW;11.0908
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW;12.4493
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW;12.503
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW;12.3075
Aditya Birla Sun Life Income Fund-Plan A(Dividend);11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend);10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth);35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend);15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth);35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW;10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW;10.2190
Axis Corporate Debt Fund - Direct Plan - Regular IDCW;12.9608
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW;10.3694
Axis Corporate Debt Fund - Direct Plan Growth;15.2724
Axis Corporate Debt Fund - Regular Plan - Daily IDCW;10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW;10.2121
Axis Corporate Debt Fund - Regular Plan - Regular IDCW;12.3297
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW;10.2506
Axis Corporate Debt Fund - Regular Plan Growth;14.6094
BANDHAN Corporate Bond Fund - Direct Annual IDCW;10.3272
BANDHAN Corporate Bond Fund - Direct Growth;16.8864
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW;11.5409
BANDHAN Corporate Bond Fund - Direct Monthly IDCW;10.3697
BANDHAN Corporate Bond Fund - Direct Periodic IDCW;11.2032
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW;10.5401
BANDHAN Corporate Bond Fund - Regular Annual IDCW;10.3171
BANDHAN Corporate Bond Fund - Regular Growth;16.5045
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW;10.9413
BANDHAN Corporate Bond Fund - Regular Monthly IDCW;10.6226
BANDHAN Corporate Bond Fund - Regular Periodic IDCW;11.1262
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW;10.5802
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option;10.5137
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option;27.1742
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option;10.2005
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option;10.2943
